
model = GPT2

sentence = 'c a n <sp> y o u <sp> l i s t e n <sp> t o <sp> m e <sp> p l e a s e <sp> l o o k <sp> i n <sp> m y <sp> e y e s'
p( c | <s> ...) = 0.052792 [ -1.277431 ]
p( o | t ...) = 0.125657 [ -0.900814 ]
p( l | o ...) = 0.130943 [ -0.882917 ]
p( d | l ...) = 0.050080 [ -1.300339 ]
p( _ | d ...) = 0.313471 [ -0.503802 ]
p( m | _ ...) = 0.128960 [ -0.889544 ]
p( e | m ...) = 0.293467 [ -0.532441 ]
sum logprob = -19.3536, per-symbol logprob = -0.8415, ppl = 6.9416

sentence = 'i <sp> s e e'
p( i | <s> ...) = 0.122180 [ -0.913001 ]
p( _ | i ...) = 0.103123 [ -0.986643 ]
p( s | _ ...) = 0.024989 [ -1.602256 ]
p( e | s ...) = 0.086974 [ -1.060611 ]
p( e | e ...) = 0.147947 [ -0.829895 ]
sum logprob = -5.3924, per-symbol logprob = -1.0785, ppl = 11.9807

sentence = 'i <sp> n e e d <sp> y o u <sp> t o <sp> c a l l <sp> m y <sp> f a m i l y'
p( i | <s> ...) = 0.122180 [ -0.913001 ]
p( _ | i ...) = 0.103123 [ -0.986643 ]
p( n | _ ...) = 0.028200 [ -1.549746 ]
p( e | n ...) = 0.152956 [ -0.815432 ]
p( e | e ...) = 0.131768 [ -0.880190 ]
p( d | e ...) = 0.038858 [ -1.410525 ]
p( _ | d ...) = 0.190919 [ -0.719151 ]
p( y | _ ...) = 0.046366 [ -1.333800 ]
p( o | y ...) = 0.310387 [ -0.508097 ]
p( u | o ...) = 0.310879 [ -0.507409 ]
p( _ | u ...) = 0.202146 [ -0.694335 ]
p( t | _ ...) = 0.246849 [ -0.607569 ]
p( o | t ...) = 0.309277 [ -0.509652 ]
p( _ | o ...) = 0.309607 [ -0.509190 ]
p( c | _ ...) = 0.040679 [ -1.390625 ]
p( a | c ...) = 0.090974 [ -1.041083 ]
p( l | a ...) = 0.166250 [ -0.779238 ]
p( l | l ...) = 0.262928 [ -0.580163 ]
p( _ | l ...) = 0.312122 [ -0.505675 ]
p( m | _ ...) = 0.102886 [ -0.987643 ]
p( y | m ...) = 0.098675 [ -1.005794 ]
p( _ | y ...) = 0.301198 [ -0.521148 ]
p( f | _ ...) = 0.039883 [ -1.399212 ]
p( a | f ...) = 0.172952 [ -0.762073 ]
p( m | a ...) = 0.126486 [ -0.897957 ]
p( i | m ...) = 0.299959 [ -0.522938 ]
p( l | i ...) = 0.263384 [ -0.579411 ]
p( y | l ...) = 0.023657 [ -1.626041 ]
sum logprob = -24.5437, per-symbol logprob = -0.8766, ppl = 7.5260

sentence = 'i <sp> h o p e <sp> y o u <sp> k n o w <sp> h o w <sp> m u c h <sp> i <sp> a p p r e c i a t e <sp> y o u'
p( i | <s> ...) = 0.122180 [ -0.913001 ]
p( _ | i ...) = 0.103123 [ -0.986643 ]
p( h | _ ...) = 0.062916 [ -1.201239 ]
p( o | h ...) = 0.062794 [ -1.202081 ]
p( p | o ...) = 0.083585 [ -1.077870 ]
p( e | p ...) = 0.265713 [ -0.575587 ]
p( _ | e ...) = 0.193228 [ -0.713929 ]
p( y | _ ...) = 0.114688 [ -0.940481 ]
p( o | y ...) = 0.317167 [ -0.498712 ]
p( u | o ...) = 0.311395 [ -0.506689 ]
p( _ | u ...) = 0.294247 [ -0.531288 ]
p( k | _ ...) = 0.025536 [ -1.592854 ]
p( n | k ...) = 0.243916 [ -0.612759 ]
p( o | n ...) = 0.300795 [ -0.521730 ]
p( w | o ...) = 0.038078 [ -1.419329 ]
p( _ | w ...) = 0.313012 [ -0.504439 ]
p( h | _ ...) = 0.104678 [ -0.980145 ]
p( o | h ...) = 0.302532 [ -0.519229 ]
p( w | o ...) = 0.309640 [ -0.509144 ]
p( _ | w ...) = 0.313429 [ -0.503861 ]
p( m | _ ...) = 0.113933 [ -0.943351 ]
p( u | m ...) = 0.263713 [ -0.578868 ]
p( c | u ...) = 0.307471 [ -0.512196 ]
p( h | c ...) = 0.313208 [ -0.504167 ]
p( _ | h ...) = 0.313471 [ -0.503802 ]
p( i | _ ...) = 0.160559 [ -0.794364 ]
p( _ | i ...) = 0.068616 [ -1.163576 ]
p( a | _ ...) = 0.097121 [ -1.012686 ]
p( p | a ...) = 0.216891 [ -0.663758 ]
p( p | p ...) = 0.306063 [ -0.514189 ]
p( r | p ...) = 0.311312 [ -0.506804 ]
p( e | r ...) = 0.229350 [ -0.639501 ]
p( c | e ...) = 0.307713 [ -0.511854 ]
p( i | c ...) = 0.140053 [ -0.853708 ]
p( a | i ...) = 0.315997 [ -0.500317 ]
p( t | a ...) = 0.047325 [ -1.324907 ]
p( e | t ...) = 0.271996 [ -0.565438 ]
p( _ | e ...) = 0.298109 [ -0.525625 ]
p( y | _ ...) = 0.177154 [ -0.751648 ]
p( o | y ...) = 0.314856 [ -0.501889 ]
p( u | o ...) = 0.311195 [ -0.506968 ]
sum logprob = -30.6906, per-symbol logprob = -0.7486, ppl = 5.6047

sentence = 'a r e <sp> y o u <sp> h u n g r y'
p( a | <s> ...) = 0.088923 [ -1.050985 ]
p( r | a ...) = 0.053246 [ -1.273710 ]
p( e | r ...) = 0.114348 [ -0.941771 ]
p( _ | e ...) = 0.237661 [ -0.624042 ]
p( y | _ ...) = 0.022004 [ -1.657501 ]
p( o | y ...) = 0.262537 [ -0.580809 ]
p( u | o ...) = 0.309145 [ -0.509838 ]
p( _ | u ...) = 0.227387 [ -0.643235 ]
p( h | _ ...) = 0.042934 [ -1.367197 ]
p( u | h ...) = 0.067301 [ -1.171981 ]
p( n | u ...) = 0.095472 [ -1.020125 ]
p( g | n ...) = 0.282437 [ -0.549078 ]
p( r | g ...) = 0.299669 [ -0.523358 ]
p( y | r ...) = 0.138153 [ -0.859639 ]
sum logprob = -12.7733, per-symbol logprob = -0.9124, ppl = 8.1729

sentence = 'i <sp> u s e d <sp> t o'
p( i | <s> ...) = 0.122180 [ -0.913001 ]
p( _ | i ...) = 0.103123 [ -0.986643 ]
p( u | _ ...) = 0.023325 [ -1.632181 ]
p( s | u ...) = 0.181039 [ -0.742228 ]
p( e | s ...) = 0.225732 [ -0.646407 ]
p( d | e ...) = 0.157944 [ -0.801498 ]
p( _ | d ...) = 0.313471 [ -0.503802 ]
p( t | _ ...) = 0.226125 [ -0.645652 ]
p( o | t ...) = 0.235403 [ -0.628187 ]
sum logprob = -7.4996, per-symbol logprob = -0.8333, ppl = 6.8122

sentence = 't a k e <sp> t h a t <sp> a w a y'
p( t | <s> ...) = 0.140470 [ -0.852417 ]
p( a | t ...) = 0.042738 [ -1.369186 ]
p( k | a ...) = 0.093335 [ -1.029956 ]
p( e | k ...) = 0.148107 [ -0.829426 ]
p( _ | e ...) = 0.297296 [ -0.526811 ]
p( t | _ ...) = 0.157412 [ -0.802962 ]
p( h | t ...) = 0.243800 [ -0.612966 ]
p( a | h ...) = 0.108211 [ -0.965729 ]
p( t | a ...) = 0.298961 [ -0.524385 ]
p( _ | t ...) = 0.313075 [ -0.504352 ]
p( a | _ ...) = 0.094292 [ -1.025526 ]
p( w | a ...) = 0.134898 [ -0.869995 ]
p( a | w ...) = 0.304168 [ -0.516887 ]
p( y | a ...) = 0.304271 [ -0.516739 ]
sum logprob = -10.9473, per-symbol logprob = -0.7820, ppl = 6.0527

sentence = 's i d e <sp> b y <sp> s i d e'
p( s | <s> ...) = 0.060403 [ -1.218943 ]
p( i | s ...) = 0.034688 [ -1.459816 ]
p( d | i ...) = 0.070458 [ -1.152069 ]
p( e | d ...) = 0.289154 [ -0.538871 ]
p( _ | e ...) = 0.283979 [ -0.546714 ]
p( b | _ ...) = 0.035431 [ -1.450612 ]
p( y | b ...) = 0.138169 [ -0.859588 ]
p( _ | y ...) = 0.309426 [ -0.509443 ]
p( s | _ ...) = 0.041538 [ -1.381557 ]
p( i | s ...) = 0.082485 [ -1.083624 ]
p( d | i ...) = 0.069900 [ -1.155523 ]
p( e | d ...) = 0.303369 [ -0.518030 ]
sum logprob = -11.8748, per-symbol logprob = -0.9896, ppl = 9.7626

sentence = 'f o r g e t <sp> a b o u t <sp> i t'
p( f | <s> ...) = 0.012556 [ -1.901153 ]
p( o | f ...) = 0.119850 [ -0.921361 ]
p( r | o ...) = 0.220510 [ -0.656572 ]
p( g | r ...) = 0.031564 [ -1.500813 ]
p( e | g ...) = 0.157054 [ -0.803952 ]
p( t | e ...) = 0.048248 [ -1.316518 ]
p( _ | t ...) = 0.247362 [ -0.606666 ]
p( a | _ ...) = 0.147771 [ -0.830412 ]
p( b | a ...) = 0.165722 [ -0.780621 ]
p( o | b ...) = 0.316653 [ -0.499416 ]
p( u | o ...) = 0.081187 [ -1.090514 ]
p( t | u ...) = 0.115840 [ -0.936143 ]
p( _ | t ...) = 0.313471 [ -0.503802 ]
p( i | _ ...) = 0.120107 [ -0.920432 ]
p( t | i ...) = 0.298623 [ -0.524877 ]
sum logprob = -13.7933, per-symbol logprob = -0.9196, ppl = 8.3090

sentence = 'i <sp> w a n t <sp> t o <sp> l a y <sp> o n <sp> m y <sp> r i g h t <sp> s i d e'
p( i | <s> ...) = 0.122180 [ -0.913001 ]
p( _ | i ...) = 0.103123 [ -0.986643 ]
p( w | _ ...) = 0.069306 [ -1.159229 ]
p( a | w ...) = 0.137496 [ -0.861710 ]
p( n | a ...) = 0.081395 [ -1.089404 ]
p( t | n ...) = 0.043650 [ -1.360012 ]
p( _ | t ...) = 0.190884 [ -0.719231 ]
p( t | _ ...) = 0.238795 [ -0.621974 ]
p( o | t ...) = 0.286591 [ -0.542738 ]
p( _ | o ...) = 0.312641 [ -0.504954 ]
p( l | _ ...) = 0.021805 [ -1.661440 ]
p( a | l ...) = 0.068965 [ -1.161368 ]
p( y | a ...) = 0.133952 [ -0.873051 ]
p( _ | y ...) = 0.301515 [ -0.520690 ]
p( o | _ ...) = 0.110258 [ -0.957591 ]
p( n | o ...) = 0.092993 [ -1.031551 ]
p( _ | n ...) = 0.264640 [ -0.577345 ]
p( m | _ ...) = 0.121597 [ -0.915076 ]
p( y | m ...) = 0.282240 [ -0.549382 ]
p( _ | y ...) = 0.311711 [ -0.506248 ]
p( r | _ ...) = 0.023300 [ -1.632645 ]
p( i | r ...) = 0.178017 [ -0.749537 ]
p( g | i ...) = 0.029443 [ -1.531013 ]
p( h | g ...) = 0.308623 [ -0.510572 ]
p( t | h ...) = 0.253890 [ -0.595355 ]
p( _ | t ...) = 0.296198 [ -0.528418 ]
p( s | _ ...) = 0.123068 [ -0.909854 ]
p( i | s ...) = 0.231972 [ -0.634565 ]
p( d | i ...) = 0.309517 [ -0.509315 ]
p( e | d ...) = 0.319024 [ -0.496176 ]
sum logprob = -25.6101, per-symbol logprob = -0.8537, ppl = 7.1395

sentence = 'w h a t <sp> i s <sp> t h a t'
p( w | <s> ...) = 0.053564 [ -1.271127 ]
p( h | w ...) = 0.112809 [ -0.947656 ]
p( a | h ...) = 0.099079 [ -1.004017 ]
p( t | a ...) = 0.068943 [ -1.161509 ]
p( _ | t ...) = 0.291715 [ -0.535042 ]
p( i | _ ...) = 0.127433 [ -0.894719 ]
p( s | i ...) = 0.189594 [ -0.722175 ]
p( _ | s ...) = 0.299877 [ -0.523056 ]
p( t | _ ...) = 0.143840 [ -0.842119 ]
p( h | t ...) = 0.287836 [ -0.540856 ]
p( a | h ...) = 0.084738 [ -1.071920 ]
p( t | a ...) = 0.316205 [ -0.500031 ]
sum logprob = -10.0142, per-symbol logprob = -0.8345, ppl = 6.8315

sentence = 't o m o r r o w <sp> m o r n i n g'
p( t | <s> ...) = 0.140470 [ -0.852417 ]
p( o | t ...) = 0.109425 [ -0.960885 ]
p( m | o ...) = 0.034098 [ -1.467269 ]
p( o | m ...) = 0.047895 [ -1.319708 ]
p( r | o ...) = 0.129012 [ -0.889368 ]
p( r | r ...) = 0.037686 [ -1.423823 ]
p( o | r ...) = 0.216986 [ -0.663568 ]
p( w | o ...) = 0.044083 [ -1.355730 ]
p( _ | w ...) = 0.313471 [ -0.503802 ]
p( m | _ ...) = 0.039216 [ -1.406541 ]
p( o | m ...) = 0.175603 [ -0.755467 ]
p( r | o ...) = 0.251886 [ -0.598797 ]
p( n | r ...) = 0.299875 [ -0.523060 ]
p( i | n ...) = 0.055059 [ -1.259173 ]
p( n | i ...) = 0.292653 [ -0.533646 ]
p( g | n ...) = 0.037722 [ -1.423402 ]
sum logprob = -15.9367, per-symbol logprob = -0.9960, ppl = 9.9093

sentence = 'i t <sp> w a s <sp> n o <sp> g o o d'
p( i | <s> ...) = 0.122180 [ -0.913001 ]
p( t | i ...) = 0.078008 [ -1.107859 ]
p( _ | t ...) = 0.209261 [ -0.679312 ]
p( w | _ ...) = 0.081710 [ -1.087723 ]
p( a | w ...) = 0.153395 [ -0.814188 ]
p( s | a ...) = 0.266414 [ -0.574442 ]
p( _ | s ...) = 0.298894 [ -0.524482 ]
p( n | _ ...) = 0.089227 [ -1.049501 ]
p( o | n ...) = 0.256221 [ -0.591385 ]
p( _ | o ...) = 0.093819 [ -1.027709 ]
p( g | _ ...) = 0.034160 [ -1.466484 ]
p( o | g ...) = 0.171398 [ -0.765995 ]
p( o | o ...) = 0.274526 [ -0.561416 ]
p( d | o ...) = 0.019610 [ -1.707529 ]
sum logprob = -12.8710, per-symbol logprob = -0.9194, ppl = 8.3054

sentence = 'i <sp> w o u l d <sp> l i k e <sp> t o <sp> e a t <sp> s o m e <sp> p o t a t o e s'
p( i | <s> ...) = 0.122180 [ -0.913001 ]
p( _ | i ...) = 0.103123 [ -0.986643 ]
p( w | _ ...) = 0.069306 [ -1.159229 ]
p( o | w ...) = 0.091403 [ -1.039040 ]
p( u | o ...) = 0.198606 [ -0.702009 ]
p( l | u ...) = 0.087658 [ -1.057210 ]
p( d | l ...) = 0.071516 [ -1.145595 ]
p( _ | d ...) = 0.291836 [ -0.534861 ]
p( l | _ ...) = 0.080290 [ -1.095337 ]
p( i | l ...) = 0.239204 [ -0.621232 ]
p( k | i ...) = 0.285575 [ -0.544279 ]
p( e | k ...) = 0.318785 [ -0.496502 ]
p( _ | e ...) = 0.289511 [ -0.538334 ]
p( t | _ ...) = 0.264929 [ -0.576871 ]
p( o | t ...) = 0.304470 [ -0.516455 ]
p( _ | o ...) = 0.313220 [ -0.504151 ]
p( e | _ ...) = 0.061210 [ -1.213175 ]
p( a | e ...) = 0.036512 [ -1.437560 ]
p( t | a ...) = 0.058533 [ -1.232598 ]
p( _ | t ...) = 0.313261 [ -0.504094 ]
p( s | _ ...) = 0.079915 [ -1.097371 ]
p( o | s ...) = 0.278005 [ -0.555947 ]
p( m | o ...) = 0.278426 [ -0.555290 ]
p( e | m ...) = 0.318990 [ -0.496223 ]
p( _ | e ...) = 0.212511 [ -0.672619 ]
p( p | _ ...) = 0.036998 [ -1.431817 ]
p( o | p ...) = 0.148759 [ -0.827516 ]
p( t | o ...) = 0.151572 [ -0.819380 ]
p( a | t ...) = 0.275299 [ -0.560196 ]
p( t | a ...) = 0.188366 [ -0.724998 ]
p( o | t ...) = 0.295133 [ -0.529982 ]
p( e | o ...) = 0.224556 [ -0.648675 ]
p( s | e ...) = 0.034343 [ -1.464167 ]
sum logprob = -27.2024, per-symbol logprob = -0.8243, ppl = 6.6729

sentence = 'w e <sp> w i l l <sp> g e t <sp> t o <sp> i t <sp> l a t e r'
p( w | <s> ...) = 0.053564 [ -1.271127 ]
p( e | w ...) = 0.098921 [ -1.004710 ]
p( _ | e ...) = 0.162514 [ -0.789110 ]
p( w | _ ...) = 0.095931 [ -1.018043 ]
p( i | w ...) = 0.128755 [ -0.890236 ]
p( l | i ...) = 0.220208 [ -0.657166 ]
p( l | l ...) = 0.306980 [ -0.512890 ]
p( _ | l ...) = 0.308960 [ -0.510098 ]
p( g | _ ...) = 0.052387 [ -1.280779 ]
p( e | g ...) = 0.164059 [ -0.785000 ]
p( t | e ...) = 0.304551 [ -0.516340 ]
p( _ | t ...) = 0.313361 [ -0.503955 ]
p( t | _ ...) = 0.147168 [ -0.832187 ]
p( o | t ...) = 0.180426 [ -0.743701 ]
p( _ | o ...) = 0.284259 [ -0.546286 ]
p( i | _ ...) = 0.056871 [ -1.245111 ]
p( t | i ...) = 0.275542 [ -0.559812 ]
p( _ | t ...) = 0.297693 [ -0.526232 ]
p( l | _ ...) = 0.076849 [ -1.114363 ]
p( a | l ...) = 0.302896 [ -0.518706 ]
p( t | a ...) = 0.313727 [ -0.503447 ]
p( e | t ...) = 0.319040 [ -0.496155 ]
p( r | e ...) = 0.309595 [ -0.509206 ]
sum logprob = -17.3347, per-symbol logprob = -0.7537, ppl = 5.6713

sentence = 't h a n k s <sp> f o r <sp> e v e r y t h i n g'
p( t | <s> ...) = 0.140470 [ -0.852417 ]
p( h | t ...) = 0.177425 [ -0.750985 ]
p( a | h ...) = 0.085167 [ -1.069726 ]
p( n | a ...) = 0.132648 [ -0.877299 ]
p( k | n ...) = 0.218072 [ -0.661400 ]
p( s | k ...) = 0.236027 [ -0.627038 ]
p( _ | s ...) = 0.313471 [ -0.503802 ]
p( f | _ ...) = 0.081384 [ -1.089462 ]
p( o | f ...) = 0.238015 [ -0.623397 ]
p( r | o ...) = 0.296880 [ -0.527420 ]
p( _ | r ...) = 0.299981 [ -0.522906 ]
p( e | _ ...) = 0.036181 [ -1.441524 ]
p( v | e ...) = 0.202650 [ -0.693253 ]
p( e | v ...) = 0.315903 [ -0.500446 ]
p( r | e ...) = 0.295748 [ -0.529077 ]
p( y | r ...) = 0.302672 [ -0.519027 ]
p( t | y ...) = 0.174430 [ -0.758380 ]
p( h | t ...) = 0.196322 [ -0.707030 ]
p( i | h ...) = 0.237965 [ -0.623487 ]
p( n | i ...) = 0.124702 [ -0.904126 ]
p( g | n ...) = 0.081890 [ -1.086769 ]
sum logprob = -15.8690, per-symbol logprob = -0.7557, ppl = 5.6973

sentence = 'd o e s <sp> t h a t <sp> m a k e <sp> s e n s e'
p( d | <s> ...) = 0.021963 [ -1.658304 ]
p( o | d ...) = 0.088513 [ -1.052991 ]
p( e | o ...) = 0.070666 [ -1.150791 ]
p( s | e ...) = 0.131538 [ -0.880949 ]
p( _ | s ...) = 0.238632 [ -0.622272 ]
p( t | _ ...) = 0.145433 [ -0.837338 ]
p( h | t ...) = 0.251112 [ -0.600133 ]
p( a | h ...) = 0.130970 [ -0.882827 ]
p( t | a ...) = 0.299651 [ -0.523384 ]
p( _ | t ...) = 0.312836 [ -0.504683 ]
p( m | _ ...) = 0.203936 [ -0.690506 ]
p( a | m ...) = 0.127158 [ -0.895658 ]
p( k | a ...) = 0.267808 [ -0.572176 ]
p( e | k ...) = 0.084433 [ -1.073486 ]
p( _ | e ...) = 0.305315 [ -0.515251 ]
p( s | _ ...) = 0.120790 [ -0.917968 ]
p( e | s ...) = 0.299013 [ -0.524309 ]
p( n | e ...) = 0.309967 [ -0.508684 ]
p( s | n ...) = 0.312161 [ -0.505622 ]
p( e | s ...) = 0.318989 [ -0.496224 ]
sum logprob = -15.4136, per-symbol logprob = -0.7707, ppl = 5.8976

sentence = 'i <sp> a l r e a d y <sp> d i d'
p( i | <s> ...) = 0.122180 [ -0.913001 ]
p( _ | i ...) = 0.103123 [ -0.986643 ]
p( a | _ ...) = 0.118837 [ -0.925049 ]
p( l | a ...) = 0.062988 [ -1.200745 ]
p( r | l ...) = 0.065558 [ -1.183377 ]
p( e | r ...) = 0.123761 [ -0.907418 ]
p( a | e ...) = 0.113929 [ -0.943366 ]
p( d | a ...) = 0.244083 [ -0.612462 ]
p( y | d ...) = 0.255023 [ -0.593420 ]
p( _ | y ...) = 0.313471 [ -0.503802 ]
p( d | _ ...) = 0.046409 [ -1.333396 ]
p( i | d ...) = 0.185044 [ -0.732725 ]
p( d | i ...) = 0.244490 [ -0.611740 ]
sum logprob = -11.4471, per-symbol logprob = -0.8805, ppl = 7.5954

sentence = 'i <sp> w i l l <sp> s e e <sp> y o u'
p( i | <s> ...) = 0.122180 [ -0.913001 ]
p( _ | i ...) = 0.103123 [ -0.986643 ]
p( w | _ ...) = 0.069306 [ -1.159229 ]
p( i | w ...) = 0.136472 [ -0.864957 ]
p( l | i ...) = 0.174839 [ -0.757363 ]
p( l | l ...) = 0.302951 [ -0.518627 ]
p( _ | l ...) = 0.307938 [ -0.511537 ]
p( s | _ ...) = 0.023642 [ -1.626318 ]
p( e | s ...) = 0.122873 [ -0.910543 ]
p( e | e ...) = 0.154524 [ -0.811003 ]
p( _ | e ...) = 0.237732 [ -0.623912 ]
p( y | _ ...) = 0.082516 [ -1.083460 ]
p( o | y ...) = 0.313398 [ -0.503904 ]
p( u | o ...) = 0.311194 [ -0.506968 ]
sum logprob = -11.7775, per-symbol logprob = -0.8412, ppl = 6.9382

sentence = 'i <sp> w a n t <sp> t o <sp> l a y <sp> o n <sp> m y <sp> l e f t <sp> s i d e'
p( i | <s> ...) = 0.122180 [ -0.913001 ]
p( _ | i ...) = 0.103123 [ -0.986643 ]
p( w | _ ...) = 0.069306 [ -1.159229 ]
p( a | w ...) = 0.137496 [ -0.861710 ]
p( n | a ...) = 0.081395 [ -1.089404 ]
p( t | n ...) = 0.043650 [ -1.360012 ]
p( _ | t ...) = 0.190884 [ -0.719231 ]
p( t | _ ...) = 0.238795 [ -0.621974 ]
p( o | t ...) = 0.286591 [ -0.542738 ]
p( _ | o ...) = 0.312641 [ -0.504954 ]
p( l | _ ...) = 0.021805 [ -1.661440 ]
p( a | l ...) = 0.068965 [ -1.161368 ]
p( y | a ...) = 0.133952 [ -0.873051 ]
p( _ | y ...) = 0.301515 [ -0.520690 ]
p( o | _ ...) = 0.110258 [ -0.957591 ]
p( n | o ...) = 0.092993 [ -1.031551 ]
p( _ | n ...) = 0.264640 [ -0.577345 ]
p( m | _ ...) = 0.121597 [ -0.915076 ]
p( y | m ...) = 0.282240 [ -0.549382 ]
p( _ | y ...) = 0.311711 [ -0.506248 ]
p( l | _ ...) = 0.036191 [ -1.441401 ]
p( e | l ...) = 0.174678 [ -0.757761 ]
p( f | e ...) = 0.163602 [ -0.786212 ]
p( t | f ...) = 0.050934 [ -1.292989 ]
p( _ | t ...) = 0.312851 [ -0.504662 ]
p( s | _ ...) = 0.120330 [ -0.919624 ]
p( i | s ...) = 0.206974 [ -0.684085 ]
p( d | i ...) = 0.309425 [ -0.509445 ]
p( e | d ...) = 0.319013 [ -0.496192 ]
sum logprob = -24.9050, per-symbol logprob = -0.8588, ppl = 7.2243

sentence = 'i <sp> h a v e <sp> a l s <sp> a n d <sp> i <sp> h a v e <sp> t r o u b l e <sp> s p e a k i n g'
p( i | <s> ...) = 0.122180 [ -0.913001 ]
p( _ | i ...) = 0.103123 [ -0.986643 ]
p( h | _ ...) = 0.062916 [ -1.201239 ]
p( a | h ...) = 0.220227 [ -0.657129 ]
p( v | a ...) = 0.145846 [ -0.836106 ]
p( e | v ...) = 0.118604 [ -0.925902 ]
p( _ | e ...) = 0.307021 [ -0.512832 ]
p( a | _ ...) = 0.123569 [ -0.908092 ]
p( l | a ...) = 0.122037 [ -0.913509 ]
p( s | l ...) = 0.121531 [ -0.915312 ]
p( _ | s ...) = 0.221491 [ -0.654645 ]
p( a | _ ...) = 0.123603 [ -0.907972 ]
p( n | a ...) = 0.097572 [ -1.010673 ]
p( d | n ...) = 0.190939 [ -0.719106 ]
p( _ | d ...) = 0.311735 [ -0.506215 ]
p( i | _ ...) = 0.088734 [ -1.051909 ]
p( _ | i ...) = 0.104289 [ -0.981761 ]
p( h | _ ...) = 0.131845 [ -0.879937 ]
p( a | h ...) = 0.285881 [ -0.543814 ]
p( v | a ...) = 0.242958 [ -0.614469 ]
p( e | v ...) = 0.159380 [ -0.797566 ]
p( _ | e ...) = 0.308360 [ -0.510942 ]
p( t | _ ...) = 0.058657 [ -1.231682 ]
p( r | t ...) = 0.059163 [ -1.227949 ]
p( o | r ...) = 0.070034 [ -1.154688 ]
p( u | o ...) = 0.181406 [ -0.741349 ]
p( b | u ...) = 0.208807 [ -0.680256 ]
p( l | b ...) = 0.147290 [ -0.831828 ]
p( e | l ...) = 0.188791 [ -0.724018 ]
p( _ | e ...) = 0.237846 [ -0.623704 ]
p( s | _ ...) = 0.057883 [ -1.237448 ]
p( p | s ...) = 0.042269 [ -1.373983 ]
p( e | p ...) = 0.202267 [ -0.694075 ]
p( a | e ...) = 0.207618 [ -0.682734 ]
p( k | a ...) = 0.088749 [ -1.051838 ]
p( i | k ...) = 0.306064 [ -0.514188 ]
p( n | i ...) = 0.249613 [ -0.602733 ]
p( g | n ...) = 0.086597 [ -1.062499 ]
sum logprob = -32.3837, per-symbol logprob = -0.8522, ppl = 7.1155

sentence = 'p l e a s e <sp> t u r n <sp> o f f <sp> t h e <sp> h e a t'
p( p | <s> ...) = 0.047203 [ -1.326033 ]
p( l | p ...) = 0.076707 [ -1.115165 ]
p( e | l ...) = 0.092150 [ -1.035506 ]
p( a | e ...) = 0.195401 [ -0.709074 ]
p( s | a ...) = 0.057401 [ -1.241082 ]
p( e | s ...) = 0.101235 [ -0.994669 ]
p( _ | e ...) = 0.313471 [ -0.503802 ]
p( t | _ ...) = 0.130782 [ -0.883452 ]
p( u | t ...) = 0.027053 [ -1.567781 ]
p( r | u ...) = 0.266601 [ -0.574138 ]
p( n | r ...) = 0.295524 [ -0.529407 ]
p( _ | n ...) = 0.243428 [ -0.613630 ]
p( o | _ ...) = 0.227281 [ -0.643437 ]
p( f | o ...) = 0.162722 [ -0.788555 ]
p( f | f ...) = 0.305827 [ -0.514524 ]
p( _ | f ...) = 0.313308 [ -0.504029 ]
p( t | _ ...) = 0.121469 [ -0.915536 ]
p( h | t ...) = 0.301794 [ -0.520289 ]
p( e | h ...) = 0.273907 [ -0.562396 ]
p( _ | e ...) = 0.299162 [ -0.524093 ]
p( h | _ ...) = 0.042655 [ -1.370030 ]
p( e | h ...) = 0.223325 [ -0.651063 ]
p( a | e ...) = 0.307167 [ -0.512625 ]
p( t | a ...) = 0.181833 [ -0.740326 ]
sum logprob = -19.3406, per-symbol logprob = -0.8059, ppl = 6.3953

sentence = 'w h e n <sp> w a s <sp> t h e <sp> l a s t <sp> t i m e <sp> t h a t <sp> h a p p e n e d'
p( w | <s> ...) = 0.053564 [ -1.271127 ]
p( h | w ...) = 0.112809 [ -0.947656 ]
p( e | h ...) = 0.135739 [ -0.867296 ]
p( n | e ...) = 0.175810 [ -0.754957 ]
p( _ | n ...) = 0.313471 [ -0.503802 ]
p( w | _ ...) = 0.059977 [ -1.222016 ]
p( a | w ...) = 0.113008 [ -0.946889 ]
p( s | a ...) = 0.222545 [ -0.652582 ]
p( _ | s ...) = 0.295914 [ -0.528835 ]
p( t | _ ...) = 0.150107 [ -0.823599 ]
p( h | t ...) = 0.309801 [ -0.508918 ]
p( e | h ...) = 0.207868 [ -0.682212 ]
p( _ | e ...) = 0.263321 [ -0.579515 ]
p( l | _ ...) = 0.218355 [ -0.660837 ]
p( a | l ...) = 0.313724 [ -0.503452 ]
p( s | a ...) = 0.307738 [ -0.511819 ]
p( t | s ...) = 0.318626 [ -0.496719 ]
p( _ | t ...) = 0.313467 [ -0.503808 ]
p( t | _ ...) = 0.303270 [ -0.518170 ]
p( i | t ...) = 0.314903 [ -0.501823 ]
p( m | i ...) = 0.309580 [ -0.509228 ]
p( e | m ...) = 0.319048 [ -0.496143 ]
p( _ | e ...) = 0.313309 [ -0.504027 ]
p( t | _ ...) = 0.096235 [ -1.016668 ]
p( h | t ...) = 0.309324 [ -0.509586 ]
p( a | h ...) = 0.169885 [ -0.769845 ]
p( t | a ...) = 0.318274 [ -0.497199 ]
p( _ | t ...) = 0.313330 [ -0.503998 ]
